Airline,Date_of_Journey,Source,Destination,Route,Stop 1,Stop 2,Stop 3,Stop 4,Dep_Time,Arrival_Details,Arrival_Date,Arrival_Time,No_of_Days,Duration_hour,Duration_minute,Total_Stops,Additional_Info,Price,Price_Bucket
IndiGo,24-03-2019,Banglore,New Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,22:20,22-03-2019 1:10,22-3-2019,1:10 AM,0,2,50,0,No info,3897,LOW
Air India,01-05-2019,Kolkata,Banglore,CCU?IXR?BBI?BLR,IXR,BBI,NoSTOP,NoSTOP,5:50,13:15,01-05-2019,1:15 PM,0,7,25,2,No info,7662,LOW
Jet Airways,09-06-2019,Delhi,Cochin,DEL?LKO?BOM?COK,LKO,BOM,NoSTOP,NoSTOP,9:25,10-06-2019 4:25,10-6-2019,4:25 AM,0,19,0,2,No info,13882,MEDIUM
IndiGo,12-05-2019,Kolkata,Banglore,CCU?NAG?BLR,NAG,NoSTOP,NoSTOP,NoSTOP,18:05,23:30,12-05-2019,11:30 PM,0,5,25,1,No info,6218,LOW
IndiGo,01-03-2019,Banglore,New Delhi,BLR?NAG?DEL,NAG,NoSTOP,NoSTOP,NoSTOP,16:50,21:35,01-03-2019,9:35 PM,0,4,45,1,No info,13302,MEDIUM
SpiceJet,24-06-2019,Kolkata,Banglore,CCU?BLR,NoSTOP,NoSTOP,NoSTOP,NoSTOP,9:00,11:25,24-06-2019,11:25 AM,0,2,25,0,No info,3873,LOW
Jet Airways,12-03-2019,Banglore,New Delhi,BLR?BOM?DEL,BOM,NoSTOP,NoSTOP,NoSTOP,18:55,13-03-2019 10:25,13-3-2019,10:25 AM,0,15,30,1,In-flight meal not included,11087,MEDIUM
Jet Airways,01-03-2019,Banglore,New Delhi,BLR?BOM?DEL,BOM,NoSTOP,NoSTOP,NoSTOP,8:00,02-03-2019 5:05,2-3-2019,5:05 AM,0,21,5,1,No info,22270,VERY HIGH
Jet Airways,12-03-2019,Banglore,New Delhi,BLR?BOM?DEL,BOM,NoSTOP,NoSTOP,NoSTOP,8:55,13-03-2019 10:25,13-3-2019,10:25 AM,1,25,30,1,In-flight meal not included,11087,MEDIUM
Multiple carriers,27-05-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,11:25,19:15,27-05-2019,7:15 PM,0,7,50,1,No info,8625,LOW
Air India,01-06-2019,Delhi,Cochin,DEL?BLR?COK,BLR,NoSTOP,NoSTOP,NoSTOP,9:45,23:00,01-06-2019,11:00 PM,0,13,15,1,No info,8907,LOW
IndiGo,18-04-2019,Kolkata,Banglore,CCU?BLR,NoSTOP,NoSTOP,NoSTOP,NoSTOP,20:20,22:55,18-04-2019,10:55 PM,0,2,35,0,No info,4174,LOW
Air India,24-06-2019,Chennai,Kolkata,MAA?CCU,NoSTOP,NoSTOP,NoSTOP,NoSTOP,11:40,13:55,24-06-2019,1:55 PM,0,2,15,0,No info,4667,LOW
Jet Airways,09-05-2019,Kolkata,Banglore,CCU?BOM?BLR,BOM,NoSTOP,NoSTOP,NoSTOP,21:10,10-05-2019 9:20,10-5-2019,9:20 AM,0,12,10,1,In-flight meal not included,9663,LOW
IndiGo,24-04-2019,Kolkata,Banglore,CCU?BLR,NoSTOP,NoSTOP,NoSTOP,NoSTOP,17:15,19:50,24-04-2019,7:50 PM,0,2,35,0,No info,4804,LOW
Air India,03-03-2019,Delhi,Cochin,DEL?AMD?BOM?COK,AMD,BOM,NoSTOP,NoSTOP,16:40,04-03-2019 19:15,4-3-2019,7:15 PM,1,26,35,2,No info,14011,MEDIUM
SpiceJet,15-04-2019,Delhi,Cochin,DEL?PNQ?COK,PNQ,NoSTOP,NoSTOP,NoSTOP,8:45,13:15,15-04-2019,1:15 PM,0,4,30,1,No info,5830,LOW
Jet Airways,12-06-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,14:00,13-06-2019 12:35,13-6-2019,12:35 PM,0,22,35,1,In-flight meal not included,10262,MEDIUM
Air India,12-06-2019,Delhi,Cochin,DEL?CCU?BOM?COK,CCU,BOM,NoSTOP,NoSTOP,20:15,13-06-2019 19:15,13-6-2019,7:15 PM,0,23,0,2,No info,13381,MEDIUM
Jet Airways,27-05-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,16:00,28-05-2019 12:35,28-5-2019,12:35 PM,0,20,35,1,In-flight meal not included,12898,MEDIUM
GoAir,06-03-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,14:10,19:20,06-03-2019,7:20 PM,0,5,10,1,No info,19495,HIGH
Air India,21-03-2019,Banglore,New Delhi,BLR?COK?DEL,COK,NoSTOP,NoSTOP,NoSTOP,22:00,19-03-2019 13:20,19-3-2019,1:20 PM,0,15,20,1,No info,6955,LOW
IndiGo,03-04-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,4:00,6:50,03-04-2019,6:50 AM,0,2,50,0,No info,3943,LOW
IndiGo,01-05-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,18:55,21:50,01-05-2019,9:50 PM,0,2,55,0,No info,4823,LOW
Jet Airways,06-05-2019,Kolkata,Banglore,CCU?BOM?BLR,BOM,NoSTOP,NoSTOP,NoSTOP,18:55,07-05-2019 8:15,7-5-2019,8:15 AM,0,13,20,1,In-flight meal not included,7757,LOW
Jet Airways,09-06-2019,Delhi,Cochin,DEL?IDR?BOM?COK,IDR,BOM,NoSTOP,NoSTOP,21:25,10-06-2019 12:35,10-6-2019,12:35 PM,0,15,10,2,No info,13292,MEDIUM
IndiGo,01-06-2019,Delhi,Cochin,DEL?LKO?COK,LKO,NoSTOP,NoSTOP,NoSTOP,21:50,02-06-2019 3:35,2-6-2019,3:35 AM,0,5,45,1,No info,8238,LOW
GoAir,15-05-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,7:00,12:55,15-05-2019,12:55 PM,0,5,55,1,No info,7682,LOW
Vistara,18-06-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,9:45,12:35,18-06-2019,12:35 PM,0,2,50,0,No info,4668,LOW
Vistara,15-06-2019,Chennai,Kolkata,MAA?CCU,NoSTOP,NoSTOP,NoSTOP,NoSTOP,7:05,9:20,15-06-2019,9:20 AM,0,2,15,0,No info,3687,LOW
Vistara,18-06-2019,Chennai,Kolkata,MAA?CCU,NoSTOP,NoSTOP,NoSTOP,NoSTOP,7:05,9:20,18-06-2019,9:20 AM,0,2,15,0,No info,3687,LOW
Air India,01-05-2019,Kolkata,Banglore,CCU?GAU?DEL?BLR,GAU,DEL,NoSTOP,NoSTOP,9:50,23:15,01-05-2019,11:15 PM,0,13,25,2,No info,13227,MEDIUM
IndiGo,06-04-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,4:00,6:50,06-04-2019,6:50 AM,0,2,50,0,No info,4423,LOW
Jet Airways,15-06-2019,Delhi,Cochin,DEL?NAG?BOM?COK,NAG,BOM,NoSTOP,NoSTOP,14:35,16-06-2019 12:35,16-6-2019,12:35 PM,0,22,0,2,In-flight meal not included,10919,MEDIUM
Jet Airways,18-05-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,7:05,12:35,18-05-2019,12:35 PM,0,5,30,1,In-flight meal not included,12373,MEDIUM
IndiGo,27-06-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,10:35,21:00,27-06-2019,9:00 PM,0,10,25,1,No info,5894,LOW
SpiceJet,21-05-2019,Kolkata,Banglore,CCU?MAA?BLR,MAA,NoSTOP,NoSTOP,NoSTOP,15:05,20:20,21-05-2019,8:20 PM,0,5,15,1,No info,4649,LOW
Air India,18-05-2019,Kolkata,Banglore,CCU?BLR,NoSTOP,NoSTOP,NoSTOP,NoSTOP,14:15,16:45,18-05-2019,4:45 PM,0,2,30,0,No info,6245,LOW
